,Unnamed: 0,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
0,0,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,0,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,0,2,two blue,0.0,0,0,two blue blocks on left and right side of left right line,two blue,,L,Pi,L_Pi,1
1,1,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,0,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,1,2,two blue blocks,0.0,0,0,two blue blocks on left and right side of left right line,two blue blocks,,L,Pi,L_Pi,1
2,2,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,2,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,0,2,two red,0.0,0,1,two red block on top of left blue block just placed down,two red,,L,Pi,L_Pi,1
3,3,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,2,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,1,2,two red block,0.0,0,1,two red block on top of left blue block just placed down,two red block,,L,Pi,L_Pi,1
4,4,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,4,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,0,2,two red,0.0,0,2,two red block one space apart on right line,two red,,L,Pi,L_Pi,1
5,5,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,4,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,1,2,two red block,0.0,0,2,two red block one space apart on right line,two red block,,L,Pi,L_Pi,1
6,6,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,6,9f118a42-9cd3-a795-5edd-9aae7f104dcf,0,1,blue,0.0,0,3,one blue block on top red block,blue,,L,Pi,L_Pi,1
7,7,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,6,9f118a42-9cd3-a795-5edd-9aae7f104dcf,1,1,one blue,0.0,0,3,one blue block on top red block,one blue,,L,Pi,L_Pi,1
8,8,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,8,dc786e74-3ae7-ab54-169e-98cea7713b3c,0,1,red,0.0,0,4,"on left red line, on more red block on top of left red block",red,,L,Pi,L_Pi,1
9,9,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,8,dc786e74-3ae7-ab54-169e-98cea7713b3c,1,1,red block,0.0,0,4,"on left red line, on more red block on top of left red block",red block,,L,Pi,L_Pi,1
10,10,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,0,e1289e96-ebe3-387b-68cb-aa9e22d72fab,0,2,two blue,0.0,0,0,"for left red line, two blue block placed right against each other",two blue,,L,C,L_C,1
11,11,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,0,e1289e96-ebe3-387b-68cb-aa9e22d72fab,1,2,two blue block,0.0,0,0,"for left red line, two blue block placed right against each other",two blue block,,L,C,L_C,1
12,12,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,2,7c23bbfc-0490-642f-db5b-f01f3d75489a,0,2,two red,0.0,0,1,"for left red line, on top of far left of left blue block, place two red blocks stacked on each other",two red,,L,C,L_C,1
13,13,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,2,7c23bbfc-0490-642f-db5b-f01f3d75489a,1,2,two red blocks,0.0,0,1,"for left red line, on top of far left of left blue block, place two red blocks stacked on each other",two red blocks,,L,C,L_C,1
14,14,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,4,d836ba33-8467-36ce-24db-ac94486cf4d6,0,1,blue,0.0,0,2,"for right red line, place one blue block in middle of that line",blue,,L,C,L_C,1
15,15,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,4,d836ba33-8467-36ce-24db-ac94486cf4d6,1,1,one blue block,0.0,0,2,"for right red line, place one blue block in middle of that line",one blue block,,L,C,L_C,1
16,16,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,6,ad5ac10c-bd3c-cd61-5ec2-abf6a2237d40,0,2,two red,0.0,0,3,"for right red line, place two red blocks stacked on top of each other on left side of blue block",two red,,L,C,L_C,1
17,17,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,6,ad5ac10c-bd3c-cd61-5ec2-abf6a2237d40,1,2,two red blocks,0.0,0,3,"for right red line, place two red blocks stacked on top of each other on left side of blue block",two red blocks,,L,C,L_C,1
18,18,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,8,524bba5b-8204-2c0b-1da2-21b825454e29,0,1,blue,0.0,0,4,"for right red line, place blue block on top of highest red block so it sticks on on the left side",blue,,L,C,L_C,1
19,19,0110-5784fec9-109a-4d7a-a343-4820f4d42144,1.0,8,524bba5b-8204-2c0b-1da2-21b825454e29,1,1,blue block,0.0,0,4,"for right red line, place blue block on top of highest red block so it sticks on on the left side",blue block,,L,C,L_C,1
20,20,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,0,135981c7-b984-dbe3-aef8-2d2e51f83e44,0,3,"blue, two red",0.0,0,0,"for left red line, place blue block in the middle then stack two red on left side of that blue block",blue two red,,C,Pi,C_Pi,1
21,21,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,0,135981c7-b984-dbe3-aef8-2d2e51f83e44,1,3,"blue block, two red",0.0,0,0,"for left red line, place blue block in the middle then stack two red on left side of that blue block",blue block two red,,C,Pi,C_Pi,1
22,22,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,2,d7418ae8-cfa7-1765-e757-155d5c07d046,0,1,blue,0.0,0,1,"for left red line, place blue block on highest red so it stick out on the right side",blue,,C,Pi,C_Pi,1
